S.n,Product Name,Price,Discount,Discount Price,Retail Price,Brand,Image,Category,Review Rating
0,Xiaomi Redmi A2 Plus,18499,20,3699.8,22198.8,xiaomi,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
1,VGO TEL New 24,20499,2,409.98,20908.98,vgo-tel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
2,Itel S23 4G,26349,15,3952.35,30301.35,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.1
3,Tecno Spark 20,32999,11,3629.89,36628.89,tecno,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.5
4,Samsung Galaxy A04,21499,32,6879.68,28378.68,samsung,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.7
5,Realme Narzo 50A Prime,26699,30,8009.7,34708.7,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
6,Realme Narzo 50,34999,22,7699.78,42698.78,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
7,Realme C53,39999,2,799.98,40798.98,realme,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
8,Infinix Smart 8 Plus,24599,5,1229.95,25828.95,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.6
9,Infinix Hot 40,38299,7,2680.93,40979.93,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.8
10,Tecno Spark 10 Pro,34999,13,4549.87,39548.87,tecno,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
11,Infinix Hot 30 Play,27349,9,2461.41,29810.41,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
12,Infinix Hot 40i,34099,5,1704.95,35803.95,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.5
13,Sparx Neo 7 Ultra,26699,26,6941.74,33640.74,sparx,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
14,Tecno Spark 10C,27399,14,3835.86,31234.86,tecno,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
15,Samsung Galaxy A14,43199,24,10367.76,53566.76,samsung,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
16,Dcode Cygnal 2,20599,21,4325.79,24924.79,dcode,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
17,Honor X6,26899,34,9145.66,36044.66,honor,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
18,Jazz Digit E2 Pro 4G,8499,11,934.89,9433.89,jazz-digit,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
19,Vivo Y27s,47199,11,5191.89,52390.89,vivo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
20,itel P17 Pro,16249,32,5199.68,21448.68,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
21,Infinix Hot 30,32499,19,6174.81,38673.81,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
22,Itel A05s,18699,7,1308.93,20007.93,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.2
23,Vivo Y17s,32999,11,3629.89,36628.89,vivo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
24,Infinix Note 30 Pro,58299,7,4080.93,62379.93,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.9
25,Xiaomi Redmi 13C,32999,8,2639.92,35638.92,xiaomi,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
26,Infinix Zero 30 4G,63499,1,634.99,64133.99,infinix,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.6
27,Digit Infinity,14499,30,4349.7,18848.7,digit,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,5
28,Itel A27,15399,7,1077.93,16476.93,itel,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.4
29,Samsung Galaxy A24 4G,69999,13,9099.87,79098.87,samsung,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.1
30,Oppo A58,52999,7,3709.93,56708.93,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
31,Tecno Spark 10,29199,17,4963.83,34162.83,tecno,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.7
32,Honor X5,17199,20,3439.8,20638.8,honor,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.9
33,Oppo A78,66799,7,4675.93,71474.93,oppo,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.3
34,Apple iPhone 11,177999,14,24919.86,202918.86,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
35,Apple iPhone 15 Pro Max,565000,18,101700,666700,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4
36,Apple iPhone 15 Pro,504999,8,40399.92,545398.92,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,4.6
37,Apple iPhone 14 Pro,505999,5,25299.95,531298.95,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,2.8
38,Apple iPhone 14 Plus,499999,5,24999.95,524998.95,apple,https://static.priceoye.pk/images/product-placeholder.svg,mobiles,3.7
